Nbr threads,Time
1,0.76
1,0.76
1,0.76
1,0.76
1,0.76
2,0.76
2,0.76
2,0.76
2,0.76
2,0.76
3,0.76
3,0.76
3,0.76
3,0.76
3,0.76
4,0.76
4,0.76
4,0.76
4,0.76
4,0.76
5,0.76
5,0.76
5,0.76
5,0.76
5,0.76
6,0.75
6,0.75
6,0.75
6,0.75
6,0.75
7,0.75
7,0.75
7,0.75
7,0.76
7,0.75
8,0.72
8,0.72
8,0.73
8,0.73
8,0.73
9,0.73
9,0.73
9,0.73
9,0.73
9,0.75
10,0.87
10,0.80
10,0.87
10,0.82
10,0.84
11,0.87
11,0.80
11,0.83
11,0.83
11,0.80
12,0.85
12,0.88
12,0.83
12,0.79
12,0.81
13,0.87
13,0.91
13,0.83
13,0.86
13,0.91
14,0.86
14,1.14
14,0.95
14,1.00
14,0.90
15,0.95
15,1.09
15,1.04
15,0.96
15,1.01
16,0.90
16,1.06
16,1.03
16,0.96
16,1.06
