Nbr threads,Time
1,0.76
1,0.76
1,0.76
1,0.76
1,0.76
2,0.76
2,0.76
2,0.76
2,0.75
2,0.76
3,0.75
3,0.76
3,0.76
3,0.76
3,0.76
4,0.75
4,0.76
4,0.75
4,0.75
4,0.76
5,0.75
5,0.75
5,0.75
5,0.75
5,0.75
6,0.75
6,0.75
6,0.75
6,0.75
6,0.75
7,0.75
7,0.74
7,0.75
7,0.75
7,0.75
8,0.73
8,0.73
8,0.73
8,0.73
8,0.73
9,0.79
9,0.74
9,0.74
9,0.81
9,0.77
10,0.82
10,0.84
10,0.85
10,0.87
10,0.84
11,0.85
11,0.86
11,0.85
11,0.92
11,0.87
12,0.87
12,0.82
12,0.83
12,1.11
12,1.09
13,1.06
13,1.07
13,1.03
13,1.06
13,1.03
14,0.95
14,0.91
14,1.10
14,1.22
14,0.99
15,1.07
15,1.30
15,1.08
15,1.08
15,1.10
16,1.11
16,1.14
16,1.16
16,1.21
16,1.13
