Nbr threads,Time
1,0.76
1,0.76
1,0.75
1,0.76
1,0.76
2,0.76
2,0.76
2,0.76
2,0.76
2,0.76
3,0.76
3,0.76
3,0.76
3,0.75
3,0.76
4,0.76
4,0.76
4,0.76
4,0.75
4,0.75
5,0.75
5,0.75
5,0.75
5,0.75
5,0.75
6,0.76
6,0.76
6,0.75
6,0.75
6,0.75
7,0.75
7,0.75
7,0.75
7,0.75
7,0.74
8,0.73
8,0.73
8,0.73
8,0.73
8,0.73
9,0.77
9,0.75
9,0.78
9,0.80
9,0.76
10,0.80
10,0.83
10,0.79
10,0.82
10,0.81
11,0.89
11,0.83
11,0.93
11,0.81
11,0.82
12,0.84
12,0.97
12,0.86
12,0.89
12,1.04
13,0.95
13,1.03
13,0.94
13,1.17
13,1.09
14,1.05
14,1.01
14,1.18
14,1.14
14,1.11
15,1.17
15,0.99
15,1.22
15,1.12
15,1.04
16,1.15
16,1.25
16,1.20
16,1.22
16,1.11
