Nbr threads,Time
2,0.19
2,0.18
2,0.17
2,0.16
2,0.16
3,0.17
3,0.17
3,0.18
3,0.20
3,0.19
4,0.24
4,0.26
4,0.27
4,0.25
4,0.21
5,0.32
5,0.29
5,0.30
5,0.31
5,0.29
6,0.39
6,0.38
6,0.37
6,0.38
6,0.39
7,0.43
7,0.42
7,0.42
7,0.44
7,0.41
8,0.49
8,0.51
8,0.52
8,0.49
8,0.49
9,0.54
9,0.55
9,0.57
9,0.56
9,0.56
10,0.61
10,0.63
10,0.60
10,0.62
10,0.62
11,0.66
11,0.68
11,0.65
11,0.66
11,0.67
12,0.74
12,0.74
12,0.75
12,0.74
12,0.75
13,0.81
13,0.79
13,0.80
13,0.80
13,0.83
14,0.86
14,0.86
14,0.85
14,0.86
14,0.86
15,0.94
15,0.93
15,0.92
15,0.91
15,0.90
16,0.99
16,0.99
16,1.01
16,0.99
16,0.98
