Nbr threads,Time
2,0.04
2,0.04
2,0.04
2,0.04
2,0.04
3,0.11
3,0.10
3,0.10
3,0.10
3,0.19
4,0.27
4,0.24
4,0.26
4,0.26
4,0.24
5,0.36
5,0.36
5,0.33
5,0.36
5,0.38
6,0.53
6,0.55
6,0.51
6,0.53
6,0.54
7,0.50
7,0.61
7,0.46
7,0.52
7,0.62
8,0.40
8,0.42
8,0.49
8,0.41
8,0.47
9,0.58
9,0.56
9,0.44
9,0.49
9,0.47
10,0.53
10,0.36
10,0.55
10,0.50
10,0.36
11,0.39
11,0.42
11,0.41
11,0.45
11,0.39
12,0.41
12,0.35
12,0.44
12,0.42
12,0.41
13,0.46
13,0.39
13,0.55
13,0.45
13,0.48
14,0.43
14,0.37
14,0.41
14,0.37
14,0.32
15,0.43
15,0.37
15,0.38
15,0.49
15,0.40
16,0.36
16,0.32
16,0.41
16,0.44
16,0.32
17,0.57
17,0.42
17,0.37
17,0.43
17,0.29
18,0.34
18,0.47
18,0.44
18,0.38
18,0.34
19,0.35
19,0.41
19,0.34
19,0.36
19,0.34
20,0.35
20,0.40
20,0.39
20,0.35
20,0.54
21,0.43
21,0.31
21,0.36
21,0.34
21,0.40
22,0.30
22,0.32
22,0.35
22,0.31
22,0.39
23,0.36
23,0.40
23,0.34
23,0.39
23,0.50
24,0.33
24,0.39
24,0.34
24,0.37
24,0.35
25,0.36
25,0.29
25,0.33
25,0.35
25,0.36
26,0.29
26,0.36
26,0.35
26,0.34
26,0.39
27,0.32
27,0.34
27,0.36
27,0.34
27,0.38
28,0.33
28,0.39
28,0.31
28,0.34
28,0.28
29,0.47
29,0.32
29,0.32
29,0.47
29,0.36
30,0.37
30,0.33
30,0.28
30,0.33
30,0.35
31,0.34
31,0.36
31,0.53
31,0.31
31,0.33
32,0.41
32,0.32
32,0.34
32,0.29
32,0.40
33,0.29
33,0.33
33,0.51
33,0.34
33,0.34
34,0.34
34,0.30
34,0.33
34,0.61
34,0.35
35,0.26
35,0.40
35,0.30
35,0.40
35,0.30
36,0.27
36,0.29
36,0.35
36,0.32
36,0.32
37,0.27
37,0.31
37,0.33
37,0.30
37,0.31
38,0.37
38,0.29
38,0.33
38,0.45
38,0.37
39,0.31
39,0.29
39,0.30
39,0.32
39,0.32
40,0.28
40,0.26
40,0.37
40,0.30
40,0.41
41,0.37
41,0.45
41,0.31
41,0.29
41,0.45
42,0.32
42,0.31
42,0.30
42,0.30
42,0.31
43,0.29
43,0.30
43,0.30
43,0.43
43,0.30
44,0.28
44,0.29
44,0.29
44,0.35
44,0.31
45,0.30
45,0.28
45,0.31
45,0.30
45,0.27
46,0.33
46,0.30
46,0.28
46,0.29
46,0.29
47,0.29
47,0.29
47,0.26
47,0.29
47,0.29
48,0.32
48,0.27
48,0.28
48,0.28
48,0.32
49,0.29
49,0.28
49,0.27
49,0.29
49,0.28
50,0.26
50,0.33
50,0.28
50,0.25
50,0.27
51,0.27
51,0.31
51,0.29
51,0.30
51,0.27
52,0.27
52,0.26
52,0.28
52,0.26
52,0.26
53,0.29
53,0.25
53,0.23
53,0.23
53,0.28
54,0.26
54,0.26
54,0.29
54,0.23
54,0.25
55,0.23
55,0.26
55,0.26
55,0.31
55,0.23
56,0.29
56,0.30
56,0.25
56,0.28
56,0.34
57,0.25
57,0.25
57,0.27
57,0.25
57,0.25
58,0.37
58,0.30
58,0.31
58,0.28
58,0.27
59,0.32
59,0.26
59,0.25
59,0.24
59,0.30
60,0.25
60,0.34
60,0.25
60,0.31
60,0.26
61,0.29
61,0.23
61,0.25
61,0.30
61,0.24
62,0.23
62,0.22
62,0.27
62,0.26
62,0.21
63,0.26
63,0.31
63,0.26
63,0.25
63,0.24
64,0.23
64,0.23
64,0.24
64,0.23
64,0.23
65,0.24
65,0.22
65,0.23
65,0.24
65,0.24
66,0.22
66,0.22
66,0.25
66,0.27
66,0.21
67,0.23
67,0.23
67,0.20
67,0.22
67,0.24
68,0.21
68,0.22
68,0.23
68,0.24
68,0.25
69,0.23
69,0.22
69,0.24
69,0.22
69,0.22
70,0.22
70,0.22
70,0.23
70,0.21
70,0.22
71,0.22
71,0.23
71,0.22
71,0.23
71,0.21
72,0.22
72,0.27
72,0.22
72,0.22
72,0.22
73,0.22
73,0.21
73,0.22
73,0.26
73,0.21
74,0.22
74,0.22
74,0.22
74,0.20
74,0.23
75,0.21
75,0.22
75,0.22
75,0.21
75,0.24
76,0.20
76,0.22
76,0.22
76,0.24
76,0.25
77,0.22
77,0.20
77,0.21
77,0.29
77,0.21
78,0.24
78,0.23
78,0.23
78,0.25
78,0.22
79,0.21
79,0.22
79,0.23
79,0.20
79,0.21
80,0.23
80,0.20
80,0.22
80,0.23
80,0.22
81,0.24
81,0.23
81,0.24
81,0.23
81,0.22
82,0.24
82,0.22
82,0.23
82,0.22
82,0.22
83,0.21
83,0.22
83,0.20
83,0.22
83,0.23
84,0.23
84,0.20
84,0.23
84,0.24
84,0.24
85,0.20
85,0.24
85,0.20
85,0.21
85,0.21
86,0.22
86,0.21
86,0.21
86,0.21
86,0.21
87,0.20
87,0.22
87,0.22
87,0.22
87,0.19
88,0.20
88,0.21
88,0.20
88,0.21
88,0.22
89,0.20
89,0.21
89,0.20
89,0.19
89,0.22
90,0.21
90,0.20
90,0.22
90,0.22
90,0.22
91,0.22
91,0.21
91,0.21
91,0.20
91,0.20
92,0.21
92,0.20
92,0.20
92,0.22
92,0.21
93,0.21
93,0.20
93,0.22
93,0.19
93,0.21
94,0.21
94,0.21
94,0.21
94,0.19
94,0.19
95,0.20
95,0.22
95,0.21
95,0.20
95,0.20
96,0.20
96,0.20
96,0.19
96,0.19
96,0.21
97,0.20
97,0.20
97,0.20
97,0.20
97,0.21
98,0.19
98,0.20
98,0.18
98,0.21
98,0.21
99,0.20
99,0.21
99,0.21
99,0.21
99,0.19
100,0.18
100,0.20
100,0.19
100,0.20
100,0.20
101,0.21
101,0.20
101,0.18
101,0.19
101,0.21
102,0.20
102,0.19
102,0.20
102,0.19
102,0.20
103,0.20
103,0.20
103,0.20
103,0.19
103,0.18
104,0.19
104,0.19
104,0.20
104,0.20
104,0.20
105,0.19
105,0.20
105,0.19
105,0.18
105,0.22
106,0.19
106,0.24
106,0.20
106,0.19
106,0.19
107,0.21
107,0.19
107,0.19
107,0.21
107,0.20
108,0.14
108,0.19
108,0.21
108,0.20
108,0.18
109,0.19
109,0.20
109,0.21
109,0.19
109,0.21
110,0.19
110,0.19
110,0.19
110,0.19
110,0.19
111,0.19
111,0.19
111,0.20
111,0.21
111,0.19
112,0.19
112,0.20
112,0.20
112,0.19
112,0.20
113,0.18
113,0.22
113,0.19
113,0.18
113,0.19
114,0.19
114,0.19
114,0.19
114,0.19
114,0.20
115,0.23
115,0.21
115,0.19
115,0.21
115,0.22
116,0.19
116,0.18
116,0.19
116,0.19
116,0.20
117,0.19
117,0.19
117,0.18
117,0.20
117,0.19
118,0.19
118,0.19
118,0.19
118,0.18
118,0.21
119,0.19
119,0.19
119,0.19
119,0.20
119,0.22
120,0.20
120,0.18
120,0.21
120,0.18
120,0.19
121,0.18
121,0.19
121,0.18
121,0.18
121,0.18
122,0.18
122,0.20
122,0.19
122,0.18
122,0.19
123,0.18
123,0.20
123,0.19
123,0.23
123,0.19
124,0.19
124,0.18
124,0.18
124,0.19
124,0.20
125,0.20
125,0.19
125,0.21
125,0.19
125,0.19
126,0.19
126,0.19
126,0.18
126,0.18
126,0.19
127,0.18
127,0.18
127,0.18
127,0.19
127,0.23
128,0.19
128,0.20
128,0.19
128,0.18
128,0.24
129,0.18
129,0.18
129,0.20
129,0.18
129,0.19
130,0.18
130,0.18
130,0.21
130,0.19
130,0.18
131,0.19
131,0.19
131,0.20
131,0.20
131,0.19
132,0.18
132,0.20
132,0.20
132,0.20
132,0.20
133,0.18
133,0.19
133,0.20
133,0.18
133,0.19
134,0.19
134,0.20
134,0.18
134,0.18
134,0.18
135,0.18
135,0.18
135,0.18
135,0.19
135,0.17
136,0.18
136,0.18
136,0.18
136,0.21
136,0.18
137,0.18
137,0.18
137,0.18
137,0.17
137,0.18
138,0.19
138,0.19
138,0.21
138,0.21
138,0.21
139,0.19
139,0.18
139,0.19
139,0.18
139,0.17
140,0.17
140,0.17
140,0.21
140,0.19
140,0.18
141,0.19
141,0.18
141,0.18
141,0.18
141,0.22
142,0.18
142,0.19
142,0.22
142,0.20
142,0.20
143,0.19
143,0.18
143,0.19
143,0.18
143,0.18
144,0.20
144,0.20
144,0.17
144,0.18
144,0.19
145,0.18
145,0.17
145,0.18
145,0.18
145,0.19
146,0.18
146,0.20
146,0.18
146,0.17
146,0.18
147,0.19
147,0.21
147,0.18
147,0.20
147,0.18
148,0.18
148,0.19
148,0.22
148,0.17
148,0.18
149,0.17
149,0.17
149,0.18
149,0.18
149,0.19
150,0.18
150,0.18
150,0.27
150,0.18
150,0.18
151,0.18
151,0.18
151,0.18
151,0.17
151,0.18
152,0.19
152,0.19
152,0.16
152,0.18
152,0.18
153,0.20
153,0.18
153,0.18
153,0.19
153,0.18
154,0.18
154,0.18
154,0.17
154,0.18
154,0.27
155,0.17
155,0.18
155,0.17
155,0.17
155,0.23
156,0.20
156,0.17
156,0.19
156,0.17
156,0.17
157,0.18
157,0.17
157,0.19
157,0.17
157,0.18
158,0.21
158,0.19
158,0.17
158,0.16
158,0.17
159,0.18
159,0.18
159,0.19
159,0.18
159,0.18
160,0.18
160,0.18
160,0.18
160,0.18
160,0.16
161,0.19
161,0.18
161,0.17
161,0.18
161,0.19
162,0.19
162,0.20
162,0.18
162,0.18
162,0.18
163,0.21
163,0.22
163,0.17
163,0.19
163,0.20
164,0.17
164,0.17
164,0.21
164,0.18
164,0.19
165,0.18
165,0.18
165,0.22
165,0.19
165,0.20
166,0.17
166,0.18
166,0.18
166,0.18
166,0.17
167,0.18
167,0.17
167,0.17
167,0.17
167,0.18
168,0.18
168,0.17
168,0.18
168,0.18
168,0.18
169,0.19
169,0.17
169,0.17
169,0.21
169,0.18
170,0.19
170,0.17
170,0.19
170,0.18
170,0.18
171,0.18
171,0.17
171,0.18
171,0.17
171,0.20
172,0.17
172,0.18
172,0.19
172,0.18
172,0.20
173,0.18
173,0.19
173,0.19
173,0.17
173,0.18
174,0.17
174,0.17
174,0.18
174,0.21
174,0.17
175,0.18
175,0.17
175,0.16
175,0.17
175,0.17
176,0.17
176,0.23
176,0.17
176,0.18
176,0.17
177,0.17
177,0.19
177,0.18
177,0.17
177,0.16
178,0.20
178,0.18
178,0.17
178,0.18
178,0.17
179,0.18
179,0.18
179,0.17
179,0.18
179,0.16
180,0.18
180,0.17
180,0.17
180,0.17
180,0.17
181,0.17
181,0.19
181,0.20
181,0.17
181,0.18
182,0.17
182,0.17
182,0.18
182,0.18
182,0.17
183,0.17
183,0.17
183,0.18
183,0.18
183,0.16
184,0.18
184,0.22
184,0.18
184,0.18
184,0.18
185,0.18
185,0.17
185,0.17
185,0.17
185,0.18
186,0.18
186,0.20
186,0.17
186,0.17
186,0.18
187,0.18
187,0.19
187,0.18
187,0.18
187,0.18
188,0.18
188,0.19
188,0.19
188,0.18
188,0.22
189,0.18
189,0.16
189,0.19
189,0.19
189,0.18
190,0.17
190,0.18
190,0.18
190,0.17
190,0.17
191,0.19
191,0.24
191,0.27
191,0.18
191,0.17
192,0.17
192,0.17
192,0.16
192,0.18
192,0.17
