Nbr threads,Time
2,3.48
2,3.13
2,3.59
2,3.44
2,3.15
3,4.68
3,1.99
3,4.25
3,2.52
3,4.56
4,5.66
4,5.55
4,4.92
4,2.15
4,2.63
5,1.86
5,1.74
5,1.54
5,1.62
5,1.63
6,1.95
6,1.99
6,1.93
6,1.60
6,1.92
7,1.68
7,1.61
7,1.67
7,1.61
7,1.65
8,1.63
8,1.69
8,1.67
8,1.72
8,1.73
9,1.70
9,1.59
9,1.54
9,1.64
9,1.57
10,1.62
10,1.59
10,1.64
10,1.68
10,1.62
11,1.76
11,1.81
11,1.80
11,1.73
11,1.78
12,1.77
12,1.78
12,1.68
12,1.76
12,1.77
13,1.87
13,1.94
13,1.86
13,1.93
13,1.84
14,1.95
14,1.90
14,1.94
14,1.88
14,1.92
15,1.99
15,1.98
15,1.96
15,1.99
15,1.99
16,1.95
16,2.13
16,1.96
16,1.96
16,1.97
