Nbr threads,Time
2,0.22
2,0.22
2,0.22
2,0.22
2,0.22
3,4.21
3,2.38
3,4.89
3,4.01
3,2.72
4,4.67
4,4.85
4,2.96
4,4.30
4,3.22
5,1.17
5,1.24
5,1.15
5,1.11
5,1.19
6,1.27
6,1.17
6,1.02
6,1.30
6,1.22
7,0.96
7,0.96
7,1.01
7,0.98
7,0.97
8,0.97
8,1.02
8,1.02
8,0.96
8,1.01
9,0.86
9,0.82
9,0.85
9,0.82
9,0.87
10,0.85
10,0.81
10,0.85
10,0.87
10,0.82
11,1.00
11,0.98
11,0.84
11,0.88
11,0.87
12,0.97
12,0.91
12,0.91
12,0.90
12,0.88
13,1.01
13,1.00
13,0.95
13,0.95
13,1.04
14,0.97
14,1.00
14,0.96
14,1.02
14,0.98
15,1.02
15,1.06
15,1.08
15,1.02
15,1.08
16,1.04
16,1.06
16,1.00
16,1.01
16,1.05
