Nbr threads,Time
2,2.15
2,3.48
2,3.48
2,3.26
2,3.31
3,4.60
3,4.75
3,2.18
3,4.70
3,4.37
4,5.64
4,2.69
4,2.56
4,5.15
4,3.34
5,1.74
5,1.66
5,1.80
5,1.64
5,1.66
6,1.90
6,1.66
6,2.10
6,1.80
6,1.68
7,1.53
7,1.71
7,1.74
7,1.60
7,1.69
8,1.66
8,1.67
8,1.71
8,1.67
8,1.68
9,1.61
9,1.64
9,1.61
9,1.58
9,1.56
10,1.63
10,1.65
10,1.63
10,1.67
10,1.65
11,1.79
11,1.67
11,1.69
11,1.72
11,1.73
12,1.82
12,1.80
12,1.80
12,1.71
12,1.83
13,1.89
13,1.96
13,1.90
13,1.95
13,1.94
14,1.93
14,1.93
14,1.93
14,1.94
14,1.89
15,1.97
15,1.96
15,1.92
15,1.97
15,1.96
16,1.90
16,1.95
16,1.92
16,1.95
16,1.94
