Nbr threads,Time
2,3.29
2,3.59
2,3.52
2,3.01
2,2.81
3,3.54
3,3.44
3,2.86
3,4.40
3,4.08
4,2.76
4,5.63
4,5.01
4,5.25
4,5.28
5,1.88
5,1.73
5,1.54
5,1.76
5,1.68
6,2.06
6,1.78
6,2.01
6,1.86
6,1.79
7,1.58
7,1.46
7,1.67
7,1.72
7,1.65
8,1.67
8,1.65
8,1.65
8,1.69
8,1.76
9,1.61
9,1.64
9,1.63
9,1.60
9,1.59
10,1.65
10,1.64
10,1.57
10,1.67
10,1.66
11,1.75
11,1.73
11,1.82
11,1.75
11,1.75
12,1.74
12,1.81
12,1.85
12,1.75
12,1.78
13,1.94
13,1.93
13,1.84
13,1.92
13,1.96
14,1.95
14,1.95
14,1.99
14,1.91
14,1.87
15,1.95
15,2.00
15,1.98
15,2.00
15,2.00
16,1.99
16,1.93
16,1.97
16,1.97
16,2.00
