Nbr threads,Time
2,0.55
2,0.51
2,0.49
2,0.52
2,0.57
3,0.50
3,0.71
3,0.57
3,0.63
3,0.60
4,0.56
4,0.56
4,0.75
4,0.76
4,0.74
5,0.76
5,0.78
5,0.81
5,0.80
5,0.79
6,0.89
6,0.91
6,0.87
6,0.87
6,0.81
7,0.93
7,0.97
7,0.97
7,1.07
7,1.04
8,1.08
8,1.02
8,1.15
8,1.06
8,1.08
9,1.20
9,1.29
9,1.19
9,1.17
9,1.22
10,1.33
10,1.30
10,1.26
10,1.31
10,1.27
11,1.37
11,1.44
11,1.43
11,1.55
11,1.54
12,1.54
12,1.53
12,1.46
12,1.49
12,1.50
13,1.65
13,1.65
13,1.69
13,1.56
13,1.68
14,1.87
14,1.81
14,1.93
14,1.66
14,1.77
15,1.90
15,1.75
15,1.98
15,2.13
15,1.92
16,2.17
16,2.00
16,1.98
16,1.95
16,1.99
