Nbr threads,Time
2,0.59
2,0.43
2,0.62
2,0.59
2,0.57
3,0.22
3,0.22
3,0.23
3,0.20
3,0.21
4,0.22
4,0.21
4,0.24
4,0.20
4,0.27
5,0.21
5,0.22
5,0.20
5,0.23
5,0.24
6,0.23
6,0.23
6,0.26
6,0.30
6,0.29
7,0.33
7,0.33
7,0.30
7,0.33
7,0.28
8,0.31
8,0.35
8,0.34
8,0.36
8,0.34
9,0.36
9,0.34
9,0.35
9,0.36
9,0.35
10,0.37
10,0.34
10,0.36
10,0.36
10,0.38
11,0.39
11,0.35
11,0.32
11,0.36
11,0.35
12,0.36
12,0.36
12,0.35
12,0.35
12,0.36
13,0.39
13,0.34
13,0.35
13,0.32
13,0.35
14,0.36
14,0.31
14,0.36
14,0.37
14,0.34
15,0.36
15,0.35
15,0.34
15,0.35
15,0.32
16,0.29
16,0.34
16,0.34
16,0.33
16,0.27
