Nbr threads,Time
2,0.45
2,0.52
2,0.48
2,0.53
2,0.51
3,1.57
3,1.59
3,1.42
3,1.48
3,1.66
4,1.71
4,1.60
4,1.71
4,1.72
4,1.74
5,0.86
5,0.96
5,1.08
5,0.90
5,0.94
6,1.30
6,1.21
6,1.38
6,1.18
6,1.02
7,1.60
7,2.10
7,2.13
7,2.06
7,1.76
8,2.27
8,2.16
8,2.19
8,2.13
8,1.91
9,2.24
9,2.34
9,2.36
9,2.34
9,2.43
10,2.60
10,2.29
10,2.50
10,2.58
10,2.18
11,2.71
11,2.61
11,3.02
11,3.03
11,3.04
12,3.16
12,3.18
12,3.19
12,3.24
12,2.78
13,3.70
13,3.79
13,3.85
13,3.70
13,3.79
14,3.44
14,3.75
14,3.87
14,3.84
14,3.35
15,4.38
15,4.19
15,4.21
15,4.26
15,4.25
16,4.31
16,4.36
16,4.27
16,4.31
16,4.27
