Nbr threads,Time
2,0.23
2,0.20
2,0.19
2,0.20
2,0.19
3,0.35
3,0.34
3,0.34
3,0.31
3,0.32
4,0.38
4,0.39
4,0.41
4,0.43
4,0.38
5,0.45
5,0.48
5,0.47
5,0.43
5,0.46
6,0.48
6,0.45
6,0.45
6,0.45
6,0.48
7,0.53
7,0.52
7,0.53
7,0.60
7,0.54
8,0.58
8,0.59
8,0.53
8,0.48
8,0.55
9,0.64
9,0.64
9,0.69
9,0.82
9,0.68
10,0.74
10,0.64
10,0.79
10,0.79
10,0.87
11,0.85
11,0.88
11,0.90
11,0.62
11,0.99
12,1.10
12,1.08
12,0.94
12,1.09
12,0.76
13,1.25
13,1.06
13,1.25
13,1.26
13,0.95
14,1.31
14,1.70
14,1.24
14,1.35
14,1.25
15,1.71
15,1.32
15,1.45
15,1.76
15,1.57
16,1.42
16,1.40
16,1.77
16,1.78
16,1.81
