Nbr threads,Time
2,1.65
2,4.25
2,4.58
2,2.98
2,3.56
3,2.37
3,2.38
3,2.06
3,2.25
3,2.27
4,1.16
4,1.16
4,1.16
4,1.11
4,1.09
5,0.92
5,0.91
5,0.94
5,0.89
5,0.92
6,0.93
6,0.93
6,0.95
6,0.96
6,0.91
7,0.95
7,0.92
7,0.92
7,0.89
7,0.94
8,1.04
8,1.10
8,1.01
8,1.06
8,1.04
9,1.06
9,1.04
9,1.07
9,1.07
9,1.11
10,1.16
10,1.19
10,1.18
10,1.12
10,1.16
11,1.18
11,1.18
11,1.13
11,1.18
11,1.20
12,1.27
12,1.26
12,1.25
12,1.28
12,1.28
13,1.27
13,1.27
13,1.24
13,1.27
13,1.25
14,1.35
14,1.32
14,1.34
14,1.34
14,1.37
15,1.35
15,1.34
15,1.36
15,1.33
15,1.34
16,1.31
16,1.34
16,1.33
16,1.36
16,1.34
