Nbr threads,Time
2,0.01
2,0.05
2,0.01
2,0.07
2,0.03
3,0.05
3,0.02
3,0.04
3,0.13
3,0.18
4,0.01
4,0.01
4,0.01
4,0.01
4,0.02
5,0.08
5,0.07
5,0.10
5,0.14
5,0.08
6,0.02
6,0.02
6,0.03
6,0.02
6,0.03
7,0.02
7,0.02
7,0.12
7,0.10
7,0.04
8,0.01
8,0.02
8,0.01
8,0.02
8,0.01
9,0.02
9,0.02
9,0.02
9,0.02
9,0.01
10,0.02
10,0.02
10,0.02
10,0.02
10,0.02
11,0.03
11,0.02
11,0.02
11,0.02
11,0.02
12,0.02
12,0.02
12,0.02
12,0.02
12,0.02
13,0.02
13,0.02
13,0.02
13,0.02
13,0.02
14,0.02
14,0.02
14,0.02
14,0.02
14,0.02
15,0.02
15,0.02
15,0.02
15,0.02
15,0.02
16,0.02
16,0.02
16,0.02
16,0.02
16,0.02
17,0.02
17,0.03
17,0.02
17,0.02
17,0.02
18,0.02
18,0.04
18,0.02
18,0.02
18,0.02
19,0.02
19,0.02
19,0.02
19,0.02
19,0.05
20,0.04
20,0.02
20,0.02
20,0.02
20,0.05
21,0.02
21,0.02
21,0.05
21,0.02
21,0.04
22,0.02
22,0.02
22,0.02
22,0.02
22,0.02
23,0.02
23,0.05
23,0.04
23,0.03
23,0.05
24,0.18
24,0.05
24,0.03
24,0.04
24,0.02
25,0.02
25,0.02
25,0.11
25,0.02
25,0.02
26,0.02
26,0.03
26,0.13
26,0.06
26,0.03
27,0.03
27,0.02
27,0.03
27,0.02
27,0.10
28,0.03
28,0.02
28,0.02
28,0.03
28,0.02
29,0.03
29,0.03
29,0.14
29,0.13
29,0.02
30,0.08
30,0.17
30,0.02
30,0.03
30,0.04
31,0.09
31,0.03
31,0.06
31,0.06
31,0.02
32,0.03
32,0.05
32,0.03
32,0.04
32,0.03
