Nbr threads,Time
2,3.30
2,3.45
2,3.30
2,3.55
2,3.37
3,3.28
3,5.03
3,1.76
3,2.73
3,3.23
4,5.25
4,5.22
4,5.19
4,4.95
4,5.42
5,1.64
5,1.59
5,1.73
5,1.73
5,1.74
6,1.81
6,1.75
6,1.71
6,1.93
6,1.83
7,1.68
7,1.59
7,1.65
7,1.68
7,1.67
8,1.69
8,1.65
8,1.70
8,1.67
8,1.56
9,1.62
9,1.63
9,1.58
9,1.59
9,1.56
10,1.62
10,1.65
10,1.63
10,1.62
10,1.54
11,1.74
11,1.78
11,1.74
11,1.77
11,1.77
12,1.83
12,1.69
12,1.68
12,1.78
12,1.83
13,1.93
13,1.89
13,1.94
13,1.89
13,1.96
14,1.88
14,1.95
14,1.74
14,1.94
14,1.92
15,1.96
15,1.89
15,1.89
15,1.95
15,1.95
16,1.93
16,1.89
16,1.92
16,1.91
16,1.91
