Nbr threads,Time
2,0.36
2,0.07
2,0.16
2,0.20
2,0.06
3,1.00
3,0.18
3,0.83
3,0.14
3,0.28
4,0.98
4,0.44
4,0.38
4,0.79
4,1.28
5,0.69
5,0.53
5,0.74
5,0.52
5,0.66
6,0.81
6,0.74
6,0.93
6,0.80
6,0.67
7,1.26
7,1.24
7,1.23
7,1.24
7,1.33
8,1.49
8,1.41
8,1.44
8,1.48
8,1.23
9,1.61
9,1.76
9,1.74
9,1.88
9,1.79
10,1.89
10,2.00
10,2.02
10,1.90
10,1.75
11,2.17
11,2.74
11,2.44
11,2.70
11,2.46
12,2.70
12,2.53
12,2.67
12,2.63
12,2.51
13,3.27
13,2.96
13,3.19
13,3.16
13,3.41
14,3.37
14,3.01
14,2.86
14,3.14
14,3.29
15,3.63
15,3.80
15,3.69
15,3.42
15,3.64
16,3.15
16,3.41
16,3.79
16,3.79
16,3.72
17,3.94
17,3.90
17,4.11
17,3.93
17,3.83
18,3.92
18,3.86
18,18,3.49
18,3.61
19,19,4.41
19,4.17
19,4.06
19,4.23
20,4.33
20,4.25
20,3.99
20,4.25
20,4.07
21,4.02
21,4.17
21,21,4.02
21,4.12
22,4.47
22,4.64
22,4.16
22,4.16
22,23,
