Nbr threads,Time
2,0.16
2,0.16
2,0.17
2,0.16
2,0.16
3,0.28
3,0.30
3,0.29
3,0.29
3,0.29
4,0.33
4,0.31
4,0.33
4,0.33
4,0.31
5,0.32
5,0.33
5,0.33
5,0.35
5,0.33
6,0.38
6,0.40
6,0.39
6,0.40
6,0.39
7,0.44
7,0.43
7,0.44
7,0.43
7,0.44
8,0.52
8,0.54
8,0.52
8,0.54
8,0.52
9,0.55
9,0.56
9,0.56
9,0.56
9,0.55
10,0.60
10,0.74
10,0.67
10,0.61
10,0.64
11,0.60
11,0.66
11,0.49
11,0.65
11,0.74
12,0.76
12,0.65
12,0.69
12,0.79
12,0.85
13,0.73
13,0.73
13,0.76
13,0.61
13,0.81
14,0.83
14,0.95
14,0.84
14,0.99
14,0.72
15,0.81
15,0.84
15,0.71
15,0.96
15,0.70
16,1.01
16,0.92
16,1.16
16,1.16
16,0.97
