Nbr threads,Time
2,0.05
2,0.04
2,0.04
2,0.04
2,0.04
3,0.17
3,0.12
3,0.19
3,0.32
3,0.71
4,0.24
4,0.25
4,0.27
4,0.34
4,0.27
5,0.36
5,0.42
5,0.34
5,0.33
5,0.36
6,0.52
6,0.47
6,0.49
6,0.45
6,0.51
7,0.54
7,0.48
7,0.53
7,0.43
7,0.39
8,0.41
8,0.42
8,0.42
8,0.43
8,0.45
9,0.40
9,0.39
9,0.39
9,0.79
9,0.37
10,0.39
10,0.67
10,0.34
10,0.40
10,0.40
11,0.35
11,0.40
11,0.33
11,0.36
11,0.43
12,0.36
12,0.37
12,0.37
12,0.41
12,0.39
13,0.34
13,0.34
13,0.37
13,0.32
13,0.33
14,0.37
14,0.31
14,0.33
14,0.39
14,0.36
15,0.37
15,0.39
15,0.36
15,0.31
15,0.33
16,0.36
16,0.34
16,0.37
16,0.31
16,0.33
17,0.32
17,0.35
17,0.33
17,0.35
17,0.35
18,0.35
18,0.36
18,0.34
18,0.33
18,0.34
19,0.31
19,0.35
19,0.35
19,0.34
19,0.34
20,0.35
20,0.36
20,0.29
20,0.35
20,0.29
21,0.36
21,0.36
21,0.34
21,0.30
21,0.33
22,0.30
22,0.31
22,0.33
22,0.31
22,0.30
23,0.36
23,0.29
23,0.31
23,0.31
23,0.35
24,0.32
24,0.33
24,0.31
24,0.32
24,0.31
25,0.33
25,0.35
25,0.32
25,0.31
25,0.30
26,0.32
26,0.31
26,0.32
26,0.31
26,0.35
27,0.37
27,0.32
27,0.29
27,0.28
27,0.33
28,0.30
28,0.32
28,0.33
28,0.32
28,0.34
29,0.30
29,0.30
29,0.34
29,0.28
29,0.31
30,0.28
30,0.34
30,0.29
30,0.32
30,0.30
31,0.32
31,0.30
31,0.28
31,0.31
31,0.28
32,0.33
32,0.31
32,0.30
32,0.28
32,0.31
33,0.29
33,0.33
33,0.28
33,0.27
33,0.31
34,0.30
34,0.33
34,0.28
34,0.31
34,0.29
35,0.29
35,0.30
35,0.28
35,0.27
35,0.29
36,0.27
36,0.29
36,0.27
36,0.27
36,0.29
37,0.27
37,0.30
37,0.31
37,0.28
37,0.27
38,0.27
38,0.28
38,0.30
38,0.30
38,0.28
39,0.29
39,0.27
39,0.27
39,0.26
39,0.29
40,0.29
40,0.29
40,0.27
40,0.27
40,0.29
41,0.32
41,0.32
41,0.28
41,0.27
41,0.30
42,0.27
42,0.28
42,0.31
42,0.32
42,0.30
43,0.29
43,0.30
43,0.28
43,0.29
43,0.32
44,0.29
44,0.28
44,0.28
44,0.29
44,0.28
45,0.27
45,0.30
45,0.29
45,0.27
45,0.27
46,0.29
46,0.27
46,0.28
46,0.28
46,0.27
47,0.28
47,0.29
47,0.30
47,0.26
47,0.29
48,0.28
48,0.27
48,0.28
48,0.29
48,0.27
49,0.29
49,0.27
49,0.27
49,0.27
49,0.29
50,0.27
50,0.26
50,0.26
50,0.25
50,0.27
51,0.24
51,0.23
51,0.25
51,0.26
51,0.30
52,0.25
52,0.24
52,0.24
52,0.24
52,0.24
53,0.25
53,0.25
53,0.27
53,0.25
53,0.25
54,0.25
54,0.25
54,0.25
54,0.24
54,0.25
55,0.25
55,0.25
55,0.24
55,0.26
55,0.25
56,0.26
56,0.23
56,0.26
56,0.23
56,0.25
57,0.26
57,0.25
57,0.25
57,0.25
57,0.24
58,0.26
58,0.21
58,0.25
58,0.24
58,0.23
59,0.23
59,0.24
59,0.25
59,0.25
59,0.25
60,0.23
60,0.26
60,0.21
60,0.26
60,0.25
61,0.24
61,0.22
61,0.23
61,0.27
61,0.24
62,0.22
62,0.23
62,0.22
62,0.21
62,0.22
63,0.22
63,0.22
63,0.23
63,0.21
63,0.22
64,0.22
64,0.24
64,0.21
64,0.21
64,0.21
65,0.21
65,0.22
65,0.23
65,0.22
65,0.23
66,0.20
66,0.21
66,0.24
66,0.21
66,0.23
67,0.22
67,0.22
67,0.20
67,0.22
67,0.23
68,0.22
68,0.21
68,0.23
68,0.22
68,0.22
69,0.21
69,0.22
69,0.23
