Nbr threads,Time
2,1.85
2,3.46
2,3.46
2,1.39
2,3.28
3,4.13
3,4.73
3,4.53
3,2.13
3,2.13
4,4.58
4,5.64
4,5.69
4,5.03
4,5.67
5,1.62
5,1.85
5,1.72
5,1.84
5,1.54
6,1.89
6,2.08
6,1.89
6,1.96
6,2.05
7,1.54
7,1.56
7,1.51
7,1.62
7,1.70
8,1.71
8,1.64
8,1.62
8,1.72
8,1.63
9,1.61
9,1.65
9,1.59
9,1.57
9,1.62
10,1.62
10,1.60
10,1.54
10,1.67
10,1.60
11,1.69
11,1.73
11,1.73
11,1.81
11,1.75
12,1.74
12,1.65
12,1.78
12,1.79
12,1.71
13,1.85
13,1.91
13,1.82
13,1.86
13,1.94
14,1.83
14,1.91
14,1.93
14,1.97
14,1.89
15,1.99
15,1.95
15,1.99
15,1.92
15,1.97
16,1.94
16,1.92
16,1.95
16,1.92
16,1.91
