Nbr threads,Time
2,0.16
2,0.16
2,0.16
2,0.16
2,0.16
3,0.20
3,0.18
3,0.19
3,0.19
3,0.20
4,0.22
4,0.22
4,0.22
4,0.21
4,0.22
5,0.26
5,0.26
5,0.27
5,0.26
5,0.25
6,0.30
6,0.31
6,0.32
6,0.31
6,0.32
7,0.35
7,0.35
7,0.34
7,0.36
7,0.34
8,0.39
8,0.40
8,0.40
8,0.40
8,0.40
9,0.44
9,0.43
9,0.42
9,0.43
9,0.44
10,0.49
10,0.48
10,0.48
10,0.47
10,0.48
11,0.54
11,0.53
11,0.51
11,0.53
11,0.52
12,0.57
12,0.56
12,0.56
12,0.54
12,0.55
13,0.60
13,0.58
13,0.61
13,0.61
13,0.62
14,0.66
14,0.63
14,0.66
14,0.65
14,0.61
15,0.69
15,0.67
15,0.71
15,0.68
15,0.69
16,0.75
16,0.76
16,0.74
16,0.74
16,0.74
