Nbr threads,Time
2,4.84
2,4.67
2,4.51
2,4.76
2,4.74
3,3.01
3,2.94
3,2.76
3,3.02
3,3.00
4,1.15
4,1.14
4,1.19
4,1.17
4,1.27
5,1.03
5,1.03
5,0.98
5,1.00
5,1.06
6,1.03
6,1.05
6,0.97
6,1.06
6,1.03
7,1.21
7,1.13
7,1.17
7,1.13
7,1.16
8,1.17
8,1.16
8,1.12
8,1.17
8,1.18
9,1.22
9,1.24
9,1.26
9,1.22
9,1.21
10,1.32
10,1.30
10,1.30
10,1.31
10,1.30
11,1.40
11,1.38
11,1.41
11,1.40
11,1.40
12,1.46
12,1.45
12,1.47
12,1.45
12,1.44
13,1.54
13,1.51
13,1.53
13,1.54
13,1.54
14,1.55
14,1.54
14,1.56
14,1.55
14,1.56
15,1.55
15,1.59
15,1.58
15,1.54
15,1.58
16,1.50
16,1.51
16,1.56
16,1.51
16,1.53
