Nbr threads,Time
2,3.35
2,3.65
2,3.60
2,3.25
2,3.35
3,10.69
3,11.69
3,11.21
3,10.83
3,10.36
4,11.33
4,10.59
4,11.12
4,11.30
4,10.74
5,6.46
5,5.99
5,6.06
5,6.83
5,6.87
6,7.55
6,6.75
6,7.78
6,7.46
6,7.24
7,7.44
7,7.54
7,6.55
7,8.57
7,7.92
8,7.64
8,8.23
8,7.04
8,7.32
8,7.87
9,11.69
9,11.12
9,9.00
9,11.53
9,8.26
10,12.18
10,12.86
10,11.34
10,12.47
10,11.39
11,11.25
11,11.30
11,11.33
11,10.93
11,10.51
12,12.74
12,11.32
12,11.54
12,11.61
12,11.83
13,13.19
13,13.51
13,13.21
13,13.25
13,13.80
14,14.49
14,13.67
14,13.83
14,14.88
14,14.16
15,16.20
15,16.34
15,16.72
15,16.09
15,15.60
16,16.50
16,16.25
16,16.41
16,15.97
16,16.05
