Nbr threads,Time
2,0.16
2,0.16
2,0.14
2,0.12
2,0.16
3,0.19
3,0.20
3,0.21
3,0.19
3,0.19
4,0.26
4,0.26
4,0.22
4,0.26
4,0.29
5,0.32
5,0.30
5,0.30
5,0.34
5,0.33
6,0.39
6,0.39
6,0.41
6,0.37
6,0.33
7,0.49
7,0.44
7,0.45
7,0.42
7,0.45
8,0.52
8,0.50
8,0.52
8,0.52
8,0.52
9,0.58
9,0.57
9,0.60
9,0.60
9,0.57
10,0.65
10,0.66
10,0.65
10,0.66
10,0.66
11,0.71
11,0.72
11,0.69
11,0.71
11,0.74
12,0.78
12,0.84
12,0.75
12,0.78
12,0.77
13,0.89
13,0.80
13,0.86
13,0.87
13,0.84
14,0.89
14,0.90
14,0.91
14,0.91
14,0.93
15,0.98
15,0.98
15,0.97
15,0.98
15,0.97
16,1.04
16,1.04
16,1.03
16,1.06
16,1.06
