Nbr threads,Time
2,4.49
2,4.64
2,4.25
2,4.21
2,4.48
3,2.27
3,2.31
3,2.31
3,2.37
3,2.37
4,1.50
4,1.34
4,1.35
4,1.42
4,1.31
5,1.29
5,1.12
5,1.16
5,1.05
5,1.14
6,0.96
6,0.94
6,1.06
6,0.97
6,1.05
7,1.00
7,1.04
7,1.00
7,1.04
7,0.98
8,1.15
8,1.08
8,1.08
8,1.07
8,1.13
9,1.14
9,1.14
9,1.18
9,1.15
9,1.16
10,1.25
10,1.25
10,1.24
10,1.21
10,1.23
11,1.28
11,1.29
11,1.31
11,1.32
11,1.30
12,1.37
12,1.37
12,1.38
12,1.36
12,1.35
13,1.39
13,1.42
13,1.41
13,1.40
13,1.44
14,1.44
14,1.47
14,1.46
14,1.47
14,1.44
15,1.45
15,1.44
15,1.46
15,1.45
15,1.45
16,1.47
16,1.45
16,1.47
16,1.44
16,1.45
