Nbr threads,Time
2,3.52
2,3.61
2,3.53
2,3.40
2,3.40
3,11.32
3,10.81
3,10.82
3,11.23
3,10.95
4,11.62
4,11.27
4,10.87
4,11.58
4,10.92
5,6.99
5,6.43
5,6.32
5,6.02
5,6.96
6,7.21
6,6.63
6,8.09
6,7.71
6,9.21
7,7.15
7,7.61
7,6.94
7,7.35
7,7.17
8,8.30
8,7.42
8,7.39
8,7.24
8,8.57
9,9.98
9,9.35
9,8.67
9,11.15
9,10.56
10,11.59
10,9.15
10,12.09
10,9.25
10,11.29
11,11.65
11,11.48
11,10.54
11,11.09
11,11.43
12,11.79
12,12.29
12,11.53
12,11.58
12,11.96
13,13.78
13,13.20
13,13.52
13,13.31
13,14.36
14,14.00
14,14.83
14,13.27
14,14.36
14,13.79
15,15.90
15,16.10
15,16.36
15,16.50
15,15.94
16,16.22
16,16.31
16,16.22
16,16.14
16,15.86
