Nbr threads,Time
2,0.16
2,0.16
2,0.16
2,0.16
2,0.15
3,0.26
3,0.26
3,0.26
3,0.27
3,0.26
4,0.28
4,0.28
4,0.28
4,0.29
4,0.28
5,0.29
5,0.30
5,0.30
5,0.30
5,0.30
6,0.33
6,0.33
6,0.33
6,0.33
6,0.33
7,0.35
7,0.34
7,0.34
7,0.35
7,0.35
8,0.38
8,0.39
8,0.38
8,0.38
8,0.38
9,0.41
9,0.42
9,0.39
9,0.45
9,0.41
10,0.48
10,0.50
10,0.54
10,0.48
10,0.49
11,0.58
11,0.51
11,0.60
11,0.35
11,0.51
12,0.58
12,0.65
12,0.61
12,0.56
12,0.71
13,0.62
13,0.56
13,0.62
13,0.70
13,0.70
14,0.75
14,0.66
14,0.76
14,0.77
14,0.62
15,0.79
15,0.85
15,0.62
15,0.70
15,0.79
16,0.83
16,0.79
16,0.97
16,0.94
16,0.94
