Nbr threads,Time
2,4.80
2,4.76
2,4.22
2,4.54
2,4.55
3,2.70
3,2.58
3,2.74
3,2.58
3,2.59
4,1.12
4,1.26
4,1.37
4,1.28
4,1.35
5,0.93
5,0.94
5,0.91
5,0.91
5,0.93
6,0.93
6,0.88
6,0.88
6,0.98
6,0.93
7,0.93
7,0.96
7,1.02
7,0.89
7,0.88
8,1.03
8,1.05
8,1.05
8,1.06
8,1.08
9,1.09
9,1.05
9,1.07
9,1.09
9,1.09
10,1.19
10,1.23
10,1.19
10,1.18
10,1.21
11,1.21
11,1.23
11,1.21
11,1.22
11,1.22
12,1.31
12,1.30
12,1.34
12,1.29
12,1.28
13,1.31
13,1.27
13,1.26
13,1.35
13,1.30
14,1.36
14,1.42
14,1.39
14,1.41
14,1.38
15,1.35
15,1.40
15,1.38
15,1.35
15,1.45
16,1.42
16,1.36
16,1.41
16,1.42
16,1.38
