Nbr threads,Time
2,2.36
2,3.37
2,3.57
2,3.48
2,3.36
3,11.13
3,10.90
3,11.68
3,11.27
3,10.58
4,11.44
4,10.59
4,11.29
4,11.42
4,11.62
5,5.98
5,6.59
5,6.45
5,7.18
5,5.34
6,7.12
6,8.37
6,7.39
6,8.36
6,6.63
7,8.96
7,7.27
7,7.16
7,8.30
7,7.25
8,7.18
8,7.97
8,7.03
8,7.25
8,7.21
9,7.74
9,10.88
9,10.52
9,11.07
9,12.18
10,11.08
10,10.73
10,9.63
10,11.84
10,10.50
11,10.62
11,10.98
11,10.76
11,10.39
11,12.03
12,11.59
12,13.55
12,11.87
12,12.06
12,11.21
13,13.56
13,13.37
13,13.84
13,13.52
13,13.66
14,13.22
14,14.58
14,13.52
14,13.89
14,14.37
15,16.22
15,15.87
15,16.71
15,15.92
15,16.22
16,15.98
16,16.50
16,15.83
16,16.52
16,16.38
