Nbr threads,Time
2,0.17
2,0.17
2,0.17
2,0.17
2,0.17
3,0.32
3,0.32
3,0.32
3,0.32
3,0.32
4,0.34
4,0.35
4,0.35
4,0.35
4,0.34
5,0.37
5,0.38
5,0.38
5,0.37
5,0.37
6,0.44
6,0.42
6,0.44
6,0.43
6,0.43
7,0.49
7,0.50
7,0.50
7,0.50
7,0.50
8,0.59
8,0.59
8,0.58
8,0.59
8,0.59
9,0.64
9,0.63
9,0.61
9,0.63
9,0.63
10,0.77
10,0.71
10,0.76
10,0.67
10,0.75
11,0.78
11,0.66
11,0.73
11,0.70
11,0.72
12,0.95
12,0.99
12,0.98
12,0.86
12,0.98
13,0.98
13,0.97
13,0.87
13,0.99
13,0.78
14,1.00
14,0.88
14,1.15
14,0.82
14,1.07
15,1.01
15,0.91
15,1.15
15,1.14
15,1.09
16,1.36
16,1.27
16,1.34
16,1.45
16,1.13
