Nbr threads,Time
2,4.85
2,4.65
2,4.79
2,4.69
2,4.63
3,2.60
3,2.44
3,2.58
3,2.59
3,2.46
4,1.33
4,1.30
4,1.44
4,1.29
4,1.27
5,0.96
5,0.94
5,0.94
5,0.91
5,0.98
6,0.95
6,0.93
6,0.93
6,0.97
6,1.04
7,1.00
7,0.95
7,0.95
7,0.91
7,0.97
8,1.08
8,1.08
8,1.06
8,1.10
8,1.09
9,1.09
9,1.05
9,1.10
9,1.10
9,1.05
10,1.20
10,1.19
10,1.21
10,1.21
10,1.20
11,1.17
11,1.17
11,1.15
11,1.22
11,1.20
12,1.35
12,1.30
12,1.33
12,1.30
12,1.32
13,1.32
13,1.35
13,1.32
13,1.34
13,1.35
14,1.39
14,1.40
14,1.38
14,1.38
14,1.41
15,1.37
15,1.36
15,1.36
15,1.38
15,1.38
16,1.37
16,1.38
16,1.38
16,1.39
16,1.36
