Nbr threads,Time
2,3.05
2,3.34
2,3.38
2,3.44
2,3.19
3,11.22
3,11.38
3,11.45
3,11.51
3,10.95
4,10.83
4,10.56
4,11.03
4,11.13
4,10.80
5,6.20
5,5.91
5,7.39
5,7.29
5,5.98
6,7.68
6,6.05
6,6.76
6,6.49
6,8.29
7,7.31
7,6.93
7,7.75
7,6.90
7,7.62
8,7.60
8,7.31
8,7.99
8,7.71
8,8.01
9,11.59
9,9.78
9,11.16
9,9.89
9,11.22
10,11.33
10,10.93
10,11.42
10,9.88
10,9.25
11,10.68
11,10.70
11,11.19
11,11.44
11,11.01
12,11.23
12,11.53
12,12.06
12,11.60
12,11.98
13,13.21
13,13.54
13,12.85
13,13.03
13,14.10
14,13.70
14,14.38
14,14.05
14,14.25
14,14.12
15,16.14
15,15.83
15,16.14
15,16.07
15,16.16
16,16.11
16,14.81
16,16.40
16,16.41
16,16.29
