Nbr threads,Time
2,4.48
2,5.20
2,5.08
2,5.12
2,5.23
3,6.51
3,6.44
3,6.96
3,6.45
3,6.74
4,9.81
4,9.77
4,9.96
4,9.45
4,9.88
5,3.49
5,3.57
5,3.57
5,3.53
5,3.67
6,3.55
6,3.35
6,3.59
6,3.68
6,3.51
7,5.59
7,5.74
7,5.77
7,4.68
7,5.78
8,4.90
8,5.98
8,4.84
8,5.75
8,5.89
9,5.08
9,4.67
9,5.11
9,4.53
9,4.53
10,4.44
10,4.88
10,4.27
10,4.92
10,4.93
11,5.12
11,5.39
11,5.16
11,5.18
11,5.17
12,5.35
12,5.30
12,4.57
12,5.14
12,5.25
13,5.27
13,5.45
13,4.78
13,4.83
13,4.70
14,5.40
14,5.26
14,5.22
14,5.20
14,5.41
15,5.43
15,5.45
15,5.38
15,5.40
15,5.49
16,5.34
16,5.47
16,5.27
16,5.26
16,5.32
