Nbr threads, Time
2,0.28
2,0.25
2,0.20
2,0.21
2,0.18
3,0.25
3,0.35
3,0.34
3,0.30
3,0.39
4,0.40
4,0.41
4,0.39
4,0.36
4,0.42
5,0.49
5,0.52
5,0.44
5,0.49
5,0.48
6,0.60
6,0.57
6,0.56
6,0.60
6,0.54
7,0.64
7,0.68
7,0.64
7,0.61
7,0.62
8,0.80
8,0.66
8,0.75
8,0.72
8,0.77
9,0.81
9,0.87
9,0.78
9,0.79
9,0.89
10,0.85
10,0.94
10,0.95
10,0.88
10,0.96
11,0.98
11,0.92
11,1.03
11,1.00
11,1.04
12,1.06
12,1.11
12,1.09
12,1.07
12,1.11
13,1.22
13,1.17
13,1.11
13,1.18
13,1.15
14,1.19
14,1.31
14,1.28
14,1.21
14,1.29
15,1.39
15,1.32
15,1.31
15,1.29
15,1.29
16,1.38
16,1.43
16,1.47
16,1.41
16,1.41
