Nbr threads,Time
3,0.91
3,0.90
3,0.86
3,0.98
3,0.70
5,0.86
5,0.86
5,1.01
5,0.86
5,0.77
7,0.99
7,1.05
7,1.03
7,1.04
7,0.99
9,0.98
9,1.03
9,0.99
9,1.15
9,0.92
11,0.99
11,0.98
11,0.99
11,1.00
11,0.99
13,0.94
13,1.03
13,1.00
13,1.02
13,1.00
15,0.97
15,1.00
15,0.96
15,0.96
15,0.96
2,1.01
2,1.07
2,1.08
2,1.16
2,1.09
4,1.03
4,1.00
4,1.01
4,1.03
4,1.03
6,1.06
6,1.04
6,1.02
6,1.06
6,1.04
8,1.06
8,1.02
8,1.03
8,1.04
8,1.04
10,1.06
10,1.03
10,1.05
10,1.05
10,1.03
12,1.04
12,1.03
12,1.06
12,1.08
12,1.07
14,1.06
14,1.04
14,1.00
14,0.98
14,1.02
16,0.98
16,0.97
16,1.07
16,1.05
16,1.04
