Nbr threads,Time
3,1.18
3,1.05
3,1.10
3,1.18
3,1.06
5,3.53
5,3.74
5,3.73
5,3.78
5,3.74
7,4.42
7,4.60
7,4.68
7,4.68
7,4.98
9,6.11
9,6.35
9,6.61
9,5.97
9,5.65
11,7.95
11,8.28
11,7.39
11,8.18
11,7.53
13,9.37
13,9.45
13,9.84
13,9.63
13,8.46
15,11.34
15,10.56
15,11.09
15,10.96
15,11.14
2,0.93
2,0.89
2,0.91
2,0.95
2,0.92
4,3.05
4,3.14
4,3.39
4,3.26
4,3.19
6,4.11
6,3.89
6,4.32
6,4.05
6,4.20
8,5.74
8,5.83
8,5.93
8,6.33
8,6.50
10,7.59
10,7.39
10,7.44
10,7.48
10,7.54
12,8.88
12,9.12
12,9.29
12,9.65
12,9.09
14,9.92
14,10.57
14,11.17
14,11.37
14,10.53
16,11.90
16,12.22
16,11.45
16,12.60
16,12.09
